comment_id	profile_id	project	published	thread_id	url	word_count	character_count
1062	48	EdgeProject	2016-02-23T23:33:01.306337Z	172	/discussion/dynamic-sub-graph-assembly-versus-data-warehousing/172	188	1137
1110	2	EdgeProject	2016-02-24T02:08:25.831292Z	176	/discussion/review-summary/176	79	445
1111	2	EdgeProject	2016-02-24T02:08:37.415867Z	174	/doc/14/review#1	3	17
1112	2	EdgeProject	2016-02-24T02:08:41.227168Z	174	/doc/14/review#2	48	264
1113	2	EdgeProject	2016-02-24T02:08:45.833315Z	174	/doc/14/review#3	24	128
1114	2	EdgeProject	2016-02-24T02:08:51.591441Z	174	/doc/14/review#4	20	99
1115	2	EdgeProject	2016-02-24T02:08:55.835183Z	174	/doc/14/review#5	48	289
1131	48	EdgeProject	2016-02-24T07:33:46.523858Z	176	/discussion/review-summary/176#2	27	143
1132	196	EdgeProject	2016-02-24T09:47:44.538256Z	172	/discussion/dynamic-sub-graph-assembly-versus-data-warehousing/172#2	87	470
1134	48	EdgeProject	2016-02-25T21:20:10.304223Z	177	/discussion/what-to-do-when-you-start-over/177	59	378
1136	2	EdgeProject	2016-02-26T07:00:14.080065Z	177	/discussion/what-to-do-when-you-start-over/177#2	90	460
1138	48	EdgeProject	2016-02-26T17:27:13.491157Z	177	/discussion/what-to-do-when-you-start-over/177#3	234	1299
620	48	HHMI_Bcr_Abl	2016-01-18T23:39:45.695789Z	141	/doc/11/review#1	43	246
621	48	HHMI_Bcr_Abl	2016-01-18T23:40:00.075369Z	141	/doc/11/review#2	20	117
622	48	HHMI_Bcr_Abl	2016-01-18T23:40:12.678209Z	141	/doc/11/review#3	27	145
623	48	HHMI_Bcr_Abl	2016-01-18T23:40:30.706066Z	141	/doc/11/review#4	17	103
624	48	HHMI_Bcr_Abl	2016-01-18T23:40:39.684534Z	141	/doc/11/review#5	15	84
625	48	HHMI_Bcr_Abl	2016-01-18T23:41:02.461569Z	141	/doc/11/review#6	39	213
626	48	HHMI_Bcr_Abl	2016-01-18T23:41:15.576097Z	141	/doc/11/review#7	39	234
627	48	HHMI_Bcr_Abl	2016-01-18T23:41:23.257668Z	141	/doc/11/review#8	18	104
628	48	HHMI_Bcr_Abl	2016-01-18T23:41:28.448555Z	141	/doc/11/review#9	7	33
629	48	HHMI_Bcr_Abl	2016-01-18T23:41:37.712287Z	141	/doc/11/review#10	7	41
630	48	HHMI_Bcr_Abl	2016-01-18T23:41:52.907637Z	141	/doc/11/review#11	17	94
631	48	HHMI_Bcr_Abl	2016-01-18T23:51:24.094710Z	142	/discussion/applications-of-machine-learning-for-aggregating-judgments/142	38	270
632	48	HHMI_Bcr_Abl	2016-01-18T23:52:09.574904Z	141	/doc/11/review#12	19	109
633	48	HHMI_Bcr_Abl	2016-01-18T23:52:31.026219Z	141	/doc/11/review#13	9	56
634	48	HHMI_Bcr_Abl	2016-01-18T23:53:00.383164Z	141	/doc/11/review#14	32	211
635	48	HHMI_Bcr_Abl	2016-01-18T23:55:37.075805Z	141	/doc/11/review#15	74	421
636	48	HHMI_Bcr_Abl	2016-01-18T23:56:10.300948Z	141	/doc/11/review#16	20	112
637	48	HHMI_Bcr_Abl	2016-01-18T23:57:00.147964Z	141	/doc/11/review#17	32	186
638	48	HHMI_Bcr_Abl	2016-01-18T23:57:10.478132Z	141	/doc/11/review#18	6	39
639	48	HHMI_Bcr_Abl	2016-01-19T16:59:17.918278Z	143	/discussion/what-lies-downstream-of-bcr-abl/143	35	206
646	180	HHMI_Bcr_Abl	2016-01-19T18:59:40.666910Z	141	/doc/11/review#19	14	80
647	180	HHMI_Bcr_Abl	2016-01-19T19:00:00.326750Z	141	/doc/11/review#20	10	56
648	180	HHMI_Bcr_Abl	2016-01-19T19:00:28.262298Z	141	/doc/11/review#21	22	119
649	180	HHMI_Bcr_Abl	2016-01-19T19:00:55.494285Z	141	/doc/11/review#22	14	88
650	180	HHMI_Bcr_Abl	2016-01-19T19:02:19.451839Z	141	/doc/11/review#23	9	45
651	180	HHMI_Bcr_Abl	2016-01-19T19:03:45.507904Z	141	/doc/11/review#24	33	201
652	180	HHMI_Bcr_Abl	2016-01-19T19:04:49.312891Z	141	/doc/11/review#25	10	62
662	181	HHMI_Bcr_Abl	2016-01-20T06:35:43.945198Z	141	/doc/11/review#26	22	122
663	181	HHMI_Bcr_Abl	2016-01-20T06:36:11.668360Z	141	/doc/11/review#27	36	235
664	181	HHMI_Bcr_Abl	2016-01-20T06:36:17.651371Z	141	/doc/11/review#28	19	106
665	181	HHMI_Bcr_Abl	2016-01-20T06:36:24.398394Z	141	/doc/11/review#29	17	111
666	181	HHMI_Bcr_Abl	2016-01-20T06:36:29.701805Z	141	/doc/11/review#30	31	178
